epoch,loss
0,3.003964900970459
1,2.145966053009033
2,1.983973741531372
3,1.7931441068649292
4,1.5907444953918457
5,1.3878833055496216
6,1.2179986238479614
7,1.0472396612167358
8,0.8598690032958984
9,0.7361632585525513
10,0.736725389957428
11,0.6044549942016602
12,0.6141135692596436
13,0.597836434841156
14,0.5272086262702942
15,0.5383085012435913
16,0.4452790915966034
17,0.3940843939781189
18,0.3780885934829712
19,0.35226693749427795
20,0.3675425350666046
21,0.4093935489654541
22,0.31856274604797363
23,0.27253618836402893
24,0.28929075598716736
25,0.28778529167175293
26,0.2867180109024048
27,0.25623980164527893
28,0.28841885924339294
29,0.3690952956676483
30,0.26723337173461914
31,0.2764827311038971
32,0.2616325616836548
33,0.2566514015197754
34,0.19079585373401642
35,0.4388948380947113
36,0.24983492493629456
37,0.19419005513191223
38,0.1737292855978012
39,0.19470669329166412
40,0.17820221185684204
41,0.15154476463794708
42,0.11964796483516693
43,0.13249221444129944
44,0.13618624210357666
45,0.1458861529827118
46,0.1423918902873993
47,0.1121557280421257
48,0.1223418265581131
49,0.10435982793569565
